,name,nutri_fat,nutri_satuFat,nutri_carbohydrate,nutri_sugar,nutri_fiber,nutri_protein,nutri_salt,nutri_kcal
0,Mango and chilis pickles - Mother's receip,1.5,,1.0,,,,,20.0
1,Max Protein - Rite it’s,,,14.8,,5.0,20.0,,267.0
2,Kamarkat - 100 gm,,,,,,2.0,,452.0
3,Сырок глазурованный ваниль - Ферма,26.1,18.8,29.3,29.0,1.1,11.7,,401.0
4,Ibugesic,,,,,,,0.0,
5,Salted Peanuts - Panjwani,47.78,7.86,28.26,7.26,19.26,0.0,17.98,609.0
6,Special suji rusk - Veer jee,2.6,,1.4,,,2.1,,118.0
7,Frooti Mango drink,,,15.8,15.8,0.4,,,84.0
8,Chives Kimchi - 80Million Kimchi,,,3.571,,3.571,3.571,,35.0
9,Masala  oats - Soffola,3.0,0.04,23.8,2.4,2.4,2.8,,133.0
10,Kai Murruku - Anna bytes,30.0,9.333,56.667,1.667,0.333,10.0,,533.0
11,Insight Banana Loose Powder,,,,,,,0.0,
12,Parle G - 55g,13.0,6.0,77.3,25.5,,6.9,0.74,454.0
13,malt vinegar - heinz,,,,,,,0.0,
14,Yummy - Anmol - 35g,16.89,8.81,74.47,29.6,,6.27,0.535,474.0
15,White Toast - Innlay Bakery,2.381,3.571,83.333,91.667,,11.905,,402.0
16,Shrimp,,,,,,19.469,,79.0
17,Strawberry milk - SHATTO,13.0,8.0,46.0,30.0,,12.0,,360.0
18,Spaghetti - Lubella,1.4,0.4,70.0,4.2,3.0,13.0,,351.0
19,Chicken tikka - Sardar,9.28,,6.4,,,15.27,,170.0
20,Taka tak - 100g,35.0,17.0,50.0,0.5,,7.0,,543.0
21,Brut - 283g,,,,,,,,
22,Eggs - Mae’s Eggs,9.524,,,,,12.698,,142.0
23,Bread - iD,2.9,0.6,0.8,1.5,0.0,,55.2,285.0
24,Dark chocolate Muesli - Yoga bar,13.3,4.9,67.0,6.7,9.4,13.3,,437.0
25,Super muesli - Yoga Bar,21.6,,39.8,,15.1,17.4,,425.0
26,Cuajada hondureña - La cremosita,5.0,3.5,1.0,,,5.0,,70.0
27,Zesty Orange - Santé,0.2,,7.75,7.4,0.05,0.3,,31000.0
28,Super Spoon - Kri Kri,,,20.0,19.0,,15.0,,141.0
29,Muesli+ - Yoga Bar,9.5,2.0,70.0,4.8,7.5,13.0,0.0,418.0
30,राम बंधू पापड मसाला - 100g,0.37,,9.48,,8.17,1.82,,49.0
31,Saffola Oats,5.3,,66.8,,10.4,12.6,,345.0
32,Dal makhani - Kohinoor,3.2,0.5,13.9,0.2,4.8,2.9,,83.0
33,Fit mix - Jewel farmer,40.7,5.78,34.7,12.6,12.8,15.0,,565.0
34,Protien bar - Yoga bar,14.7,2.5,19.2,5.6,10.6,20.0,,268.0
35,Milk Chocolate Chickpea Snacks - Lebby,26.19,,52.381,,7.143,11.905,,500.0
36,Vegan Cocktail samosa - Haldiram’s minute khana,17.4,2.8,40.0,1.0,10.0,5.4,,340.0
37,Krombachers Fassbrause Zitrone - Krombacher,,,7.1,6.7,,,,29.0
38,Chat at matar - Bingo,20.0,9.0,59.0,10.0,,,,475.0
39,sanju,,20.0,20.0,20.0,20.0,20.0,,
40,Salted Caramel - Häagen-Dazs,16.3,10.9,28.1,25.3,,4.0,,275.0
41,RandomTest - TestBrand,5.2,,,,,,0.0,
42,Chocobar chocoholic - The brooklyn creamery,12.182,8.727,22.182,3.091,3.273,3.818,,180.0
43,Litchi - Real,,,14.0,14.0,,0.1,,56.0
44,Cuppa Rice - Daawat,10.0,4.6,64.7,0.5,,13.1,,285.0
45,Mango - B Natural,,,15.0,3.4,1.0,0.1,,106.0
46,Protein - Food strong,3.333,2.727,15.455,10.606,,72.121,,381.0
47,Nissin,17.0,6.0,66.0,6.0,9.0,9.0,,363.0
48,Plix  fit and slim smoothie chocolate,2.6,,14.6,5.2,3.7,15.13,,142.0
49,Sei White Tea - Teamonk,0.03,,0.03,,,0.43,,2.0
50,Yummy Guava - Paper boat,,,14.0,13.5,,,,56.0
51,Chicken breast - Zorabian,1.3,,,,,25.6,,114.0
52,Granola - Fit flex,1.1,,16.8,3.7,1.3,1.9,,94.0
53,Horlicks classic malt - Hindustan Unilever Ltd - 500g,,,,,,,0.0,
54,High protein paneer - Punjab Sindh,6.0,,4.5,,,22.0,,160.0
55,8.90E+12,,,,,,,0.0,
56,Bullet coffee - Mad coffee,220.0,,50.0,,20.0,20.0,,2100.0
57,Oreo Original chocolate sandwich biscuits -,19.7,9.8,70.3,37.8,,5.5,,480.0
58,rahul,,,,,,,0.0,
59,Protein powder - ASITIS,4.667,,3.733,,2.8,93.333,,426.0
60,Oreo Original chocolate sandwich biscuits - 46.3g,19.6,9.7,71.9,38.8,0.0,5.2,,483.0
61,ranishaco 21,,,,,,,0.0,
62,Banana chips - Kozhi,27.3,,65.7,,7.9,2.5,,511.0
63,Plain Yogurt - Parag,3.0,,4.0,,,3.0,,58.0
64,Whole truth protein bar,28.462,7.692,36.538,28.462,4.808,23.846,,498.0
65,Imitation Snow crab,2.18,0.58,11.39,3.95,,9.88,,104.0
66,Atea - 25,,,,,,,0.0,
67,Foxtail  millet - Manna,1.0,,33.0,,3.0,5.0,,106.0
68,Organic Mojito,0.0,0.0,14.0,13.6,,0.0,,56.0
69,Banana chips Peri-Peri - Ol’tymes,8.9,6.4,15.3,5.9,0.88,0.7,,144.0
70,Tim tim walnut - kashmir walnut group - 250g,,,11.0,,,15.6,,687.0
71,Moov - 1,,,,,,,0.0,
72,Himalaya since 1930,,,,,,,0.0,
73,Oats - Turbo,2.0,74.0,,12.0,12.0,,,
74,Naan  Nature - Haldiram’s,4.0,0.4,46.1,2.3,0.2,6.6,,247.0
75,CHOCOS - 10,3.9,3.0,2.0,4.0,1.0,17.0,1.0,2.0
76,Muscle Gainer,2.5,,24.0,,5.0,25.5,,222.0
77,Vegan Plant Protein Powder - Be Bodywise,0.17,0.08,1.96,,,20.44,,91.0
78,Choco - Delhaize,31.0,5.7,57.0,55.0,3.9,5.7,,2236.0
79,Boules de Sésame sucré - CHITTI,21.1,,36.8,36.2,3.93,5.3,,421.0
80,Mustard oil - Nature Active,100.0,6.0,,,,,,900.0
81,Nacho chips sweet chilli - Cornitos nacho chips,25.0,,64.286,,7.143,7.143,,492.0
82,Dairy Milk,,,,,,,0.0,
83,Lait de soja - Bon Déjeuner,3.0,2.0,11.0,,,3.0,,84.0
84,Lait de soja - Bon Déjeuner,1.12,,10.72,,,2.0,,60.0
85,Hot&Spicy Samosa - Haldiram,16.0,2.571,35.286,,2.143,5.143,,310.0
86,Tops Mango Pickle - 1 Kg,4.0,0.47,20.0,0.0,0.0,1.4,0.0,122.0
87,Nestle Resource High Protein - 1Kg,2.8,0.0,41.7,0.1,5.0,45.0,0.525,372.0
88,Women Horlicks - Horlics - 400g,3.0,0.0,68.2,0.0,0.0,15.0,0.0,359.0
89,Cabruary Bourn Vita - 1 Kg,1.8,0.9,85.2,32.0,3.6,7.0,0.0,393.0
90,Women Horlicks - Horlics - 400g,3.0,0.0,68.2,0.0,0.0,15.0,0.0,359.0
91,Veer - 4,,,,,,,0.0,
92,FULL 365 - 24,,,,,,,0.0,
93,Hing - Ramdev,4.46,0.82,75.61,,6.1,8.4,,376.0
94,Malabar parota - 10 Nos,7.02,,0.2,,,,0.0,
95,Sarson ka saag - Sohna,,,11.0,,7.0,3.0,,60.0
96,Oat Granola - Express FOODS,19.1,3.1,67.0,12.1,4.0,8.5,,476.0
97,Riz basmati - Alishaan,0.5,0.1,78.0,,1.5,8.0,,349.0
98,Bhindi - Ashoka,,,6.0,,,1.0,,35.0
99,Greek yogurt smoothie,1.5,0.9,12.2,12.1,,4.0,0.0,75.0
100,"High Calorie Gainer, Chocolate Flavour - Muscleblaze",2.2,1.5,75.0,,1.4,16.1,,375.0
101,Figaro - 200ml,,,,,,,100000000000000.0,
102,Srikhand,5.0,2.9,42.0,41.0,,5.3,,234.0
103,Kinder CereAlé - Kinder,23.1,13.0,64.7,27.1,3.3,6.6,0.238,500.0
104,Pickel,11.3,3.19,21.3,3.26,,3.39,,200.0
105,Oil - 1l,0.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Lassi,2.7,,20.7,16.0,,2.4,,117.0
107,closeup toothpaste - 150g,,,,,,,0.0,
108,Apple juice,0.0,0.0,12.0,0.0,,0.0,0.0,54.0
109,Aajhree - 1,7.0,,,0.0,,6.0,0.0,400.0
110,chyawanprabha - patanjali - 750 g,0.4,0.28,7.8,3.6,5.6,0.11,0.0,35.0
111,Dana Whole Milk,3.6,2.2,4.8,0.0,,3.2,0.118,64.0
112,Pista Chikki - Shri Mahalaxmi - 450 g,29.19,9.65,51.84,,9.874,,,533.0
113,doctor,,,,,,,0.0,
114,Toasted miller muesli,23.82,18.36,63.3,20.9,,9.78,,474.0
115,Organic Spicy Avocado Hummus - Trader Joe's,4.0,0.5,0.1,0.0,,2.0,1.15,8.0
116,Chat Masala (Mix spices powder),5.3,0.0,17.5,0.0,,14.0,0.0,173.0
117,Dark chocolate peanut butter,38.8,13.24,31.34,17.4,,26.66,0.0,565.0
118,8.90E+12,,,,,,,0.0,
119,Namkeen - Haldiram's - 20,28.1,8.6,57.8,10.8,7.6,11.2,14.8,528.0
120,100066,71.7,16.6,8.97,0.0,,17.2,,758.0
121,Sowbhagya foods - 500GM,15.4,,22.8,0.0,0.9,4.1,0.34,4.0
122,Kuthu vilakku - wheat flour (atta),,75.0,,,12.0,,0.0,
123,Muscleblaze - 4kg,0.35,0.0,0.0,,0.0,46.67,0.0,0.0
124,Sainda namak - 200g,,,,,,,0.0,
125,Nan Khatai,4.5,1.0,11.0,4.0,,1.0,,89.0
126,Clear shampoo - 6 ml+ 15% extra =7 ml,,,,,,,0.0,
127,Dugra ghee - 910g,,,,,0.0,,0.0,
128,Yippee - 420gms,20.1,10.7,62.6,3.0,,9.0,,468.0
129,Pantene pro-v oil replacement - 80 ml,,,,,,,0.0,
130,Blueberries,0.0,0.0,82.667,43.333,,2.333,0.0,347.0
131,Yop!,1.3,1.0,12.4,11.0,,2.8,0.2,79.0
132,Omega 3,,,,,,0.0,,
133,Marie GOLD - Britannia - 300g,12.0,5.5,77.0,22.0,5.0,8.0,10.0,10.0
134,Amul,,,,,,,0.0,
135,Vadilal Gourmet Nutty Belgian Dark chocolate Super Premium Ice Cream,,,,,,,0.0,
136,Coca Cola - 180ml,,,,,,,0.0,
137,Vikas Saxena - Veg pro - 60g,0.5,,33.0,,,52.0,,345.0
138,Raviolis aux tomates confites et romarain - Saint-Jean,7.1,2.4,41.0,3.6,,9.8,1.5,272.0
139,milky mist  fresh  cream,,,,,,,0.0,
140,veggiee fingers - McCain - 175g,7.01,3.27,24.6,0.0,0.0,3.06,,181.0
141,Potato crackers - Bombay Sweets - 22g,,,,,,,0.0,
142,suji - Akshat group - 500 g,0.6,,75.0,,,13.0,,349.0
143,Sabudana - Shri Varalakshmi Company - 500 g,0.2,,87.1,,0.18,0.2,,351.0
144,Besan - Lal Gulab - 500 g,5.62,,61.6,,11.8,23.0,,385.0
145,Walnuts - Proventus Retail Pvt Ltd. - 500 g,63.84,,10.36,,6.75,17.31,0.545,685.0
146,Haldiram's Pasta - Haldirams - 200 g,1.1,,78.8,0.0,,0.18,0.0,367.0
147,mamra almonds - K.B.B Nuts Pvt. Ltd. - 250 g,49.4,3.7,21.7,3.9,12.2,21.2,0.002,575.0
148,Lipton green tea honey lemon - 25 N * 1.6 g,,,,,,,,
149,mom chinese fried rice - alimento agro - 87 g,13.8,2.3,57.5,4.6,5.75,9.2,4.98,387.0
150,Tarmarind Sauce - nestle - 90 g,0.0,0.0,43.6,42.1,1.3,0.6,3.28,177.0
151,Boondi - Haldirams - 150 g,41.17,,,39.55,0.0,4.63,13.75,584.0
152,Sugarlite - Zydus Wellness - 500 g,0.0,,2.48,2.48,,0.0,,9.0
153,Black Bourbon,16.2,7.6,75.8,42.8,,5.2,0.0,470.0
154,Ginger garlic paste,0.0,0.0,16.0,1.0,,2.0,0.0,72.0
155,Raspberry preserve,0.1,0.0,65.0,62.0,,0.7,0.0,259.0
156,Dill tzatziki - 150 g,6.4,4.29,6.1,2.62,,8.9,0.0,118.0
157,Tropicana Mixed Fruit Juice,0.0,0.0,74.0,70.0,,0.0,0.0,59.0
158,Dark Fantasy,12.0,3.0,80.0,79.0,,4.0,9.0,52.0
159,N2H GULKAND,,,,,,,0.0,
160,Vedic era Wood Press Mustard Oil - 1 LTR Yellow Mustard Oil + 500 ml Mustard Oil,99.5,,0.0,,,,,896.0
161,Fresca Lime,0.0,0.0,15.8,0.0,,0.52,0.0,66.0
162,I ball,,,,,,,0.0,
163,Karthi Keyan - Cadbury - 250 g,,,,,,,0.0,
164,Peanut butter nutrition bar,,,,,,0.0,,
165,Takatak Baked Chilli Cheese - Haldiram's,17.5,8.0,71.0,3.5,,7.0,0.0,469.0
166,Britannia Treat,20.0,12.0,73.0,36.5,,5.0,0.0,492.0
167,lays maxx macho chilli flavour,,,,,,,0.0,
168,dabur gulabari,,,,,,,0.0,
169,Nutriplato Roasted 5 Seeds Blend - 300 g,10.77,1.98,2.94,5.85,5.64,0.57,3.63,149.0
170,britannia treat croissant vanilla creme roll,,,,,,,0.0,
171,Gummy Vites,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
172,Weetabix - 450 g,2.3,0.5,66.0,2.0,,11.1,0.24,358.0
173,Green chutney style - kurkure,34.4,16.0,56.3,1.9,,5.3,1.0,556.0
174,maggi coconut milk powder,,,,,,,78600000000000.0,
175,balaji wafers crunchex -,,,,,,,0.0,
176,balaji wafers chataka pataka -,,,,,,,0.0,
177,Spiced Okra Chips,9.6,7.55,36.25,6.12,,7.41,0.0,585.0
178,Organic peanut butter - 350 g,49.0,7.0,18.0,3.0,,30.0,19.0,639.0
179,Butter Bite,7.0,4.0,20.0,5.0,,2.0,1.0,150.0
180,Mango,0.0,0.0,10.07,10.07,,0.0,0.016,51.0
181,fabelle dark chocolate -,,,,,,,0.0,
182,Pata negra,,,,,,0.0,,
183,Bourbon,74.3,34.0,17.1,9.0,,6.0,1.0,475.0
184,Coriander powder - Swastik,,,,,,,0.0,
185,Veggie stix,17.9,2.6,71.0,2.9,,6.6,7.6,470.0
186,Kelloyy's Wheat Flakes,,,,,,,0.0,
187,Whole Wheat Bread - Fresho,2.6,,53.0,18.8,,8.4,,269.0
188,Shubham - Nandini,4.6,3.0,4.8,4.8,,3.3,,74.0
189,Complete pancake mix,5.5,2.0,69.8,12.7,,7.7,8.69,364.0
190,Natural Greek Yogurt - Epigamua,2.56,,6.2,0.0,,8.21,,80.0
191,Soya chips - haldirams - 50g,,,,,,,,542.0
192,Bar One - Nestlé,4.3,2.9,14.5,10.3,,1.3,35.8,122.0
193,Les Fabuleuses / Boulette d'énergie Pomme-Cannelle,8.6,4.0,48.4,38.7,,4.9,0.0,284.0
194,Boulette d'énergie cacao cacahuete,15.1,5.6,49.6,37.6,,9.9,0.025,373.0
195,Boulette d'énergie Match-Coco,17.5,11.5,50.2,39.2,,6.4,0.03,380.0
196,Organic Brown Sugar (Desi Khand) - 500 g,2.5,0.5,36.0,14.0,,4.0,0.0,180.0
197,Moong dal,20.0,7.0,49.0,2.0,,23.0,0.5,476.0
198,Duke's,0.0,0.0,0.0,0.0,,0.0,11.0,0.0
199,Bakarwadi - chitale - 250 g,35.63,8.74,46.85,8.07,,8.97,0.21,543.0
200,Periperi nachos &salsa dip - Colonel & co,9.0,,42.0,6.0,,4.0,,264.0
201,Moong Dal Burfi - Haldiram s,28.0,20.0,56.0,36.0,,8.0,,508.0
202,almond fresh - so good india - 200 ml,,,,,,,2600000000000.0,
203,Quā,0.0,0.0,0.0,0.0,,0.0,0.025,0.0
204,Maiyas Moong Dal - 35,18.8,9.4,56.4,0.0,1.0,20.2,2.125,476.0
205,Rice Kodubale - Maiyas - 40,34.6,,53.8,0.0,1.5,7.7,1.905,539.0
206,nutri choice - Britannia - 75g,21.0,10.0,68.0,14.5,6.0,8.0,,68.0
207,Mom's Magic - Sunfeast - 100g,22.9,13.9,65.1,23.9,,8.1,0.1,499.0
208,Pasteurized Toned Milk - Namaste India - 230 ml,3.1,2.23,7.8,0.0,0.0,3.52,0.108,73.0
209,catch sprinklers Table Salt - 100g,0.0,0.0,0.0,0.0,0.0,0.0,97.028,0.0
210,sattviko - 28gm,,,,,,,0.0,
211,Amul Sugar free chocolate - 150g,33.5,20.4,57.3,,0.0,6.0,,475.0
212,solen - 24 pieces,,,,,,,0.0,
213,7.11E+11,,,,,,,0.0,
214,Rishi Phalswal - Cadbury,,,,,,,0.0,
215,kitkat - 25g,,7.0,,21.0,,,76.2,106.0
216,Prostar 100 whey,3.333,1.667,6.667,3.333,,83.333,0.25,400.0
217,8.90E+12,,,,,,,0.0,
218,8.90E+12,21.2,5.7,48.9,0.0,,25.0,,478.0
219,Organic Coconut flour - Bob's Red Mill - 453 g,,,,,,,100000000000000.0,
220,Coated Wafer Layers - Perk,25.7,23.2,68.0,46.1,1.3,3.3,0.094,516.0
221,Vanilla Muffin Small - Bliss Chocolates India Pvt. Ltd. - 2 pcs,20.2,13.4,45.2,26.37,7.5,5.6,0.0,386.0
222,Pizza peanuts - Pizmame - 32g,,,,,,,0.0,
223,Goodrich - pizza topping - 200 g,24.0,19.7,5.0,0.0,0.0,12.0,0.0,284.0
224,Fennel fusion - choko la - 40g,38.49,23.76,51.39,38.45,,7.11,,580.0
225,Mohun's - 500grams,0.53,,86.0,6.29,0.55,6.42,1.346,376.0
226,Nutri choise essentials - Britannia - 150 g,18.0,8.6,72.0,0.0,10.0,7.0,,478.0
227,Pillsbury cookie cake - choco nut butter - 22 g,12.4,10.0,0.3,63.0,35.0,,4.8,383.0
228,protinex mama - Danone - 250 g,1.5,0.3,57.0,30.5,,32.0,420.0,360.0
229,Real fruit power - 1l,,,,,,,0.0,
230,Spicy (Masala) Noddles Khakhara - Maniarr's - 45g,,,,,,,0.0,
231,Pizza Khakhara - Maniarr's - 45 g,16.7,7.0,54.3,,,,2.59,0.0
232,Hutsun flaovored milk chocolate - Hatsun - 200 ml,3.0,2.0,10.0,32.0,32.0,,7.0,180.0
233,Raw pressery life + - 250ml,,12.1,10.1,,0.9,2.743,0.0,
234,Lays Spanish Tomato - fssai - 90g,,,,,,,0.0,
235,nescafé cappuccino - nestle - 5 serving packets,11.3,7.2,71.2,64.9,1.3,11.5,320.2,432.0
236,India gate Basmati rice - KRBL limited - 1 kg,0.5,,77.0,,0.001,6.7,0.262,344.0
237,Brewed vinegar - Del Monte - 180 g,0.0,0.0,0.0,,0.0,,0.0,
238,karachi's cashew biscuits - karachi bakery - 400 g,,,,,,,0.0,
239,kalimark vibro paneer - 500 ml,,,,,,,0.0,
240,e-Millet cookies - Moon Foods - 150g,23.5,,63.5,,0.37,5.3,,505.0
241,Modern Sandwich Supreme - Modern Foods - 600 g,2.1,1.37,51.0,6.3,,7.9,,254.0
242,Twister - Delfi - 320g,,22.0,15.0,,2.0,0.19,,
243,Special Mukhwas - Natraj Auroville - 200,,,,,,,0.0,
244,OMG! Oh My Ganna Ginger Groove - Nutricane - 250 ml,0.0,0.0,9.14,9.14,,0.0,,48.0
245,Crunchy Nutty Peanut Butter - United Foods - 12 oz,53.45,11.47,31.9,10.02,18.23,9.46,4.75,651.0
246,Jeera Special - BTW - 400 g,28.08,13.47,0.1,,52.02,7.8,1.78,494.0
247,Jus de mangue - Paper boat - 180ml,0.1,0.1,15.5,12.5,,0.1,0.1,62.0
248,Chikki - paper boat - 31 g,24.0,5.41,56.5,34.0,,13.9,,497.0
249,Bitterly Osmania Biscuits - Karachi Bakery - 300 g,32.0,16.0,58.0,8.0,6.0,7.0,1.704,546.0
250,Snakker - Priyagold - 24 g,21.9,,1.0,0.1,,,64.6,480.0
251,Choco Vanilla - Cream Bell - 65 ml,17.1,13.5,0.14,20.0,15.2,,2.9,246.0
252,Fantasia Ice Cream Sandwich - Cream Bell - 80 ml,7.6,2.9,0.0,32.0,14.3,,3.9,211.0
253,Idly & Dosa Batter - iD - 1kg,1.6,0.68,26.3,0.0,,5.5,0.234,143.0
254,Plain salted potato chips - Yellow diamond - 35g,33.94,15.56,52.4,1.0,,8.46,0.519,548.0
255,Khakhra -,21.0,9.0,65.0,3.0,,10.0,2.0,489.0
256,Orange Cake - Milka Wonder Cake - 150 g,19.17,12.16,,55.73,24.87,,6.92,423.0
257,Sona Masuri Rice - Kalyani - 5 Kg,,,,,,,0.0,
258,Haldirams Bhujia - 1 kg,40.8,10.4,39.5,3.9,,13.9,,580.0
259,Halirams Bhujiya sev - haldirams - 1 kg,43.5,11.5,37.14,0.0,,12.93,0.771,592.0
260,Yummy Elaichi Flavoured Sandwich - Anmol - 100 g,17.98,9.34,6.05,2.59,0.0,,73.41,484.0
261,Yummy Orange Flavoured Sandwich - Anmol - 100g,17.63,10.17,7.46,0.0,0.0,,72.39,480.0
262,Krack Jack Medium Pack -,,,,,,,0.0,
263,Cheeslings Classic - Monaco - 300 g,23.6,,65.2,3.3,,8.4,,507.0
264,Cheeselings - Classic - Parle - 150 g,20.0,9.5,69.0,3.3,,8.2,2.8,117.0
265,Manchow Instant Noodles - Capital Foods - 60 g,10.3,5.1,0.0,33.2,0.3,0.0,7.4,255.0
266,Del Monte Tomato Ketchup - 1 kg,0.0,0.0,37.0,25.0,,2.0,,156.0
267,Nutties - Cadbury - 30 grams,,,,,,,0.0,
268,Sofit Soya Milk - 200 ml,3.2,0.36,3.6,0.0,,6.4,0.0,68.0
269,tata tea gemini,,,,,,,0.0,
270,Lipton Green tea - 13g,,,,,,,0.0,
271,Dr. Oetker - 275g,55.7,9.9,12.3,5.7,,4.5,,568.0
272,Chewing gum Green Fresh pack de 4 - Hollywood,,0.3,,0.1,0.0,0.4,0.01,640.0
273,Pierre Martinet Mon taboulé a poulet à la ciboulette la barquette de 300 g,5.7,0.8,21.0,3.3,0.0,5.4,0.95,160.0
274,"Yaourts Gervais Aux Fruits, 24x50g 18+6 Gratuits",,1.5,,11.9,0.0,6.3,0.08,95.0
275,Coorg Bee Honey -  - 250 g,0.0,,2.4,,,0.4,18.796,319.0
276,Horlicks,2.0,0.0,78.0,14.0,0.0,10.0,0.362,370.0
277,JALIMALS,,,,,,,,1.0
278,Sizzlin Jalapeno Nacho Crisps - Cornitos - 33g,,67.9,3.57,3.57,7.14,2.06,,
279,Toastea - Britannia - 273 g,3.9,80.9,,,9.0,,,
280,Moisturiser - Sukin - 125ml,,,,,,,0.0,
281,lays potato chips - Lay's - 28g,33.0,13.0,54.7,6.0,,7.0,1.717,544.0
282,pasta - 200g,26.0,23.0,12.0,25.0,6.0,78.0,20.0,23.0
283,Soya chunks - 100g,1.0,0.0,34.0,16.0,17.0,51.0,0.0,349.0
284,Pasteurised standardised milk - Sudha - 500 ml,4.5,,,4.95,,,3.0,72.0
285,Soulfull Ragi Bites - 250g,12.0,6.0,77.5,24.0,,7.0,0.17,445.0
286,cake nuts and resins - britannia - 60g,18.0,8.0,7.7,2.2,0.0,,56.0,410.0
287,safari - Gandour - 26g,23.0,15.0,21.0,44.0,,4.3,0.402,491.0
288,BB cream - sugar,,,,,,,0.0,
289,moisturizer - mamaearth - 80g,,,,,,,0.0,
290,Cadbury - 130g,,,,,,,0.0,
291,Doritos Masala Mayhem Flavour - PepsiCo - 25 g,,66.6,4.5,,6.9,1.501,0.0,
292,Crema de cacahuate,49.0,7.0,18.0,3.0,,30.0,19.0,639.0
293,coconut oil - Dabur - 1,,0.0,0.0,,0.0,0.0,,
294,Patanjali Chyawanprash - 1 kg,,,,,,,0.0,
295,Thumbs up - coca cola - 2L,0.0,10.0,10.0,,0.0,0.0,,
296,Quick Chicken Pizza Instant Noodles - Wai Wai - 75 g,20.9,9.3,0.2,64.0,2.3,1.0,10.0,484.0
297,amul cow ghee - 200 ml,99.7,65.0,0.004,,0.0,0.0,,897.0
298,mountain dew - pepsi - 250 ml,0.0,0.0,12.3,12.3,,0.0,0.041,49.0
299,parle - G - 130g,,,,,,,0.0,
300,Kellogg's fruit loops - 250g,,,,,,,,100.0
301,Haldirams nut crackers - 400 g,18.0,4.0,7.0,1.0,3.0,8.0,0.75,220.0
302,santoor - skin care center,,,,,,,0.0,
303,Coca cola - 300ml,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
304,Britannia Marie Gold - 1 kg,,,,,,,0.0,
305,balaji wafers - 40,,,,,,,,559.0
306,ketchup,10.0,9.0,4.0,2.0,,5.0,0.0,200.0
307,Special Potato Chiwda - LaxmiNarayan - 400 g,44.08,7.68,37.92,17.93,5.4,9.6,1.11,565.0
308,pepsi black - pepsico - 250 ml,0.0,,,0.0,,,0.013,0.0
309,Amul Masti Dahi - 85 g,3.1,2.0,4.4,,,4.0,,61.0
310,Amul Taaza - 200 ml,3.0,2.0,4.8,0.0,,3.0,,58.0
311,Maggi - Desi Cheesy - Nestle - 60.5 g,,,,,,,0.0,
312,KitchenFeast GARAM MASALA - KitchenFeast The Superb Taste - 100g,,,,,,,0.0,
