,name,nutri_fat,nutri_satuFat,nutri_carbohydrate,nutri_sugar,nutri_fiber,nutri_protein,nutri_salt,nutri_kcal
608,Sea salted whole cashews,46.429,8.929,28.571,7.143,,17.857,1.518,571.0
609,Haldirams Alu Bhujia - Haldiram's - 175 g,38.12,16.5,0.25,0.25,,8.68,6.15,562.0
610,Maaza - Coca-Cola,0.0,0.0,15.0,13.0,,0.0,,60.0
611,Chips - Pringles,7.0,3.5,62.8,0.4,,5.0,1.172,523.0
612,tarij - Pepsico,,,,,,,0.0,
613,Pringles Desi Masala Tadka Flavour - 107 g,28.3,12.6,0.3,61.2,1.5,,4.7,518.0
614,kurkure -,,,,,,,0.0,
615,The Real Vitamin - BIG MUSCLES NUTRITION - 30 caps,,,,,,,,
616,chocobar flavoured ice cream - Arun - 38g/58 ml,,0.171,34.2,34.2,0.0,5.26,,
617,"boondi from haldirams
haldirams boondi - Haldiram's",,,,,,,0.0,
618,Maida - Ganesh - 1 kg,,73.9,,,11.8,0.008,,
619,Yoga Bar Steel Cut Oats,7.4,1.3,65.1,0.0,,17.8,0.0,398.0
620,Roasted pumpkin kernels - Tong Garden - 200 g,,10.0,3.33,3.33,36.7,0.593,,
621,Patanjali Honey - 1kg,0.0,0.0,80.0,80.0,0.0,0.0,0.05,320.0
622,Hing Asafoetida - Catch - 100g,,71.58,2.2,,8.02,,0.0,
623,dairy milk silk - Cadbury - 250g.,,,,,,,0.0,
624,1 pound,,,,,,,6250000000000.0,
625,Hide and seek -bourbon,16.667,6.667,73.333,40.0,,6.667,0.25,466.0
626,Ching's Secret Manchurian noodles,3.0,1.5,15.3,0.0,,2.8,1.0,100.0
627,Special K original - Kellogg's - 900 g,1.0,0.3,85.3,25.0,,8.3,0.42,360.0
628,Soya Granules - Nutrela - 220 g,0.5,0.0,33.0,0.0,,52.0,0.0,345.0
629,Limca - Coca Cola - 2L,0.0,0.0,11.0,11.0,0.0,0.0,0.0,44.0
630,Lay’s Chile Limon - 55 g,34.615,15.385,50.0,3.846,,7.692,1.856,542.0
631,Cake,18.4,7.9,57.0,51.9,3.0,6.5,12.0,420.0
632,potazos - Britannia,,,,,,,0.0,
633,yoga bar 20g protein hazelnut,23.0,4.43,,34.6,23.7,13.0,29.7,464.0
634,Mango 100 juice,0.0,0.0,11.0,0.0,,0.0,0.0,44.0
635,Rose Lassi - Cavin's - 180 ml,2.06,1.39,0.056,,18.1,17.3,,99.0
636,KitKat,19.8,17.6,60.9,39.5,27.0,7.8,0.289,453.0
637,Apple Juice - Tropicana,0.0,0.0,22.9,0.0,,0.4,,94.0
638,Cashew Mandel Mix - chili - Snack Fun,51.5,6.7,21.0,5.1,,22.8,0.68,639.0
639,ON Gold Standard 100 Whey Protein - Optimum Nutrition - 2.27 kg,,12.0,9.0,,73.0,1.539,0.0,
640,Greek yogurt,2.4,1.5,8.8,5.6,,7.0,0.104,85.0
641,Gangotri Khakra Plain - 200 g,,57.5,0.5,7.2,13.8,0.86,0.0,
642,كرك - Herbal rea,2.1,,8.6,6.0,0.7,2.6,,63.0
643,Karak tea,13.333,,,,,,,42.0
644,Peanut Butter Creamy,53.333,0.0,13.333,0.0,,33.333,0.0,640.0
645,asitis - 500g,,0.0,0.0,0.0,27.0,0.0,,
646,Aachi lime pikle - 10 pieces,,,,,,,100000000000000.0,
647,Farali mixture - Badalia Foods - 25g,,46.0,4.0,4.0,7.0,4.0,,
648,Nouille masala - Nestle,15.7,6.8,63.5,1.2,,8.0,2.931,427.0
649,Monaco,21.0,9.9,68.4,7.8,,7.8,,494.0
650,Schezwan Chutney,6.667,2.0,18.667,3.333,,2.0,4.93,143.0
651,BRITANNIA - GOOD DAY - 38g,22.0,11.0,67.0,22.0,,7.0,,494.0
652,Allo Matar,8.0,0.8,11.0,0.3,,2.0,0.8,130.0
653,Khajoor Fard {date Crown} 500 GM - 500g,0.45,0.45,80.0,80.0,,3.0,0.1,364.0
654,Hard Candy - Coastal Bay confections - 85g,0.0,0.0,94.118,0.0,0.0,0.0,0.0,205.0
655,Amul Masti Buttermilk - 200,3.0,1.9,0.1,3.6,3.6,,3.0,57.0
656,Rava idli - MTR - 500 gm,8.0,3.0,63.0,1.5,,1.5,9.0,365.0
657,Exotic dark - Hershey's,13.7,8.0,80.5,64.7,,1.74,0.152,453.0
658,Munch - Nestlé,22.1,21.8,54.4,34.0,,6.3,,442.0
659,Thumbs up - Coca-Cola,0.0,0.0,9.7,0.0,0.0,0.0,,39.0
660,tomato discs - 60g,26.3,12.0,59.2,6.2,0.0,8.0,,505.0
661,CornFlakes Almond Honey - Kellogg's,8.7,4.0,81.9,30.0,1.8,6.2,1.075,80.0
662,Manna Oats - Steel Cut,10.0,2.0,67.0,2.0,14.0,11.0,,402.0
663,Organic almond,2.0,0.23,1.5,0.1,,1.05,,28.0
664,Orange Delight - Tropicana,0.0,0.0,12.4,12.0,0.0,0.1,,50.0
665,Maggi,13.5,8.2,59.6,1.8,2.0,8.2,,389.0
666,Hershy's Kisses cookies 'n' creme - Hershey's,30.0,17.7,57.3,51.7,,8.8,0.348,534.0
667,Coconut Milk Powder - Maggi,63.4,55.3,10.0,6.0,0.7,8.0,,704.0
668,Rich Tomato Ketchup - Maggi,0.0,0.0,33.5,30.8,1.8,1.2,,139.0
669,2 minute noodle - Maggi,13.5,8.2,59.6,1.8,2.0,0.0,2.571,389.0
670,Oreo -,19.6,9.7,71.9,38.8,0.0,5.2,1.05,483.0
671,Kissan peanut butter - 350g,49.3,9.33,20.7,10.7,8.67,25.7,0.672,627.0
672,Pepper Thattai - Adyar Ananda Bhavan - 250g,46.7,10.0,40.0,0.0,3.33,10.0,1.58,0.0
673,Rolled oats,6.7,1.8,62.5,0.87,9.6,13.1,,363.0
674,Minute maid - 1,13.0,11.5,0.0,0.0,0.0,0.0,0.0,52.0
675,coca powder - Fruitoman's - 50 g,13.56,7.14,54.86,1.16,25.85,21.93,0.066,429.0
676,Rolled Oats - True Elements - 40g,6.7,1.8,62.5,0.87,9.67,13.1,0.008,363.0
677,Doodh Biscuits,17.8,9.0,68.8,20.4,6.0,7.4,0.0,465.0
678,S Sunil medical khargon - 3,,,,,,,0.0,
679,Chupa chups butes,1.9,1.8,83.0,59.0,,2.8,,364.0
680,Sprite - coca cola - 750 ml,,,,,,,0.0,
681,Bourbon - Britannia - 60g,20.0,10.0,72.0,37.5,,5.0,0.0,488.0
682,Perrier Citron,0.0,0.0,0.0,0.0,,0.0,0.96,0.0
683,Chocolate Peanut Butter - Real Health - 350 g,,,,,,,50000000000000.0,
684,Milkshake vanilla Ice cream flavor - Hershey's,3.2,2.5,29.0,29.0,,3.0,0.258,159.0
685,"Kelloggs Muesli Breakfast Cereal - With Multigrain & 21% Fruit, Nut & Seeds - Kellogg's - 750 g",6.0,0.8,2.8,1.6,0.0,79.0,23.5,392.0
686,Green Chilli -  - 200g+50g,,1.14,12.26,,1.04,1.84,61000000000000.0,
687,Gorus cookies - Haldiram's,27.58,12.18,58.82,26.04,3.11,7.35,0.116,519.0
688,Chatpata Dal - Haldiram's,17.3,5.5,57.3,4.1,18.4,19.5,1.948,462.0
689,peach - Coca-Cola,0.0,0.0,14.1,13.9,,0.0,,56.0
690,Olive oil extra virgin - Bertolli,91.0,13.0,0.0,0.0,,0.0,0.0,821.0
691,Choco mint protein shake,0.29,0.18,9.75,7.48,0.0,9.0,0.6,77.0
692,Yoga Bar,23.714,4.857,33.429,22.857,13.143,29.857,0.968,467.0
693,Charged - Thums Up - 250 ml,0.0,0.0,15.4,15.3,0.0,0.0,34.5,155.0
694,Milkybar - Nestlé - 24.5 g,27.3,25.1,0.05,51.6,39.9,1.0,11.1,497.0
695,Atta Maggi,13.0,7.5,63.3,2.7,4.8,8.0,2.052,393.0
696,snac tac mango jam - 100g,0.4,0.0,71.8,67.3,0.0,0.5,0.401,293.0
697,Lassi Mango - Amul,2.2,1.4,14.5,10.1,0.0,2.2,,86.0
698,Mountain Dew - PepsiCo - 250 ml,0.0,0.0,0.0,12.3,12.3,0.0,0.0,49.0
699,Premium Jaggery pieces - Rasmalai Gold - 800g,0.04,,94.61,,,0.33,,380.0
700,Thoughtful Kabuki Channa - Namdharis - 500gms,5.01,,66.62,2.0,11.11,18.2,,369.0
701,Thoughtful Organic Whole Wheat - Namdharis - 1KG,2.26,,76.0,,12.17,11.9,,372.0
702,Mixed Pickle - Mother's Recipe - 50 g,9.0,2.0,11.0,5.0,,2.0,,133.0
703,Puffcorn - Kurkure - 57 g,4.7,2.1,11.5,0.8,,1.1,0.338,92.0
704,Shami Kabab - Vezlay Food Pvt Ltd. - 500,1.5,1.02,19.1,0.0,4.18,15.27,,36.0
705,Budweiser Beats - AB InBev - 250ml,0.0,0.0,9.0,9.0,,0.0,,39.0
706,desiccated coconut powder - sheer coco - 100g,62.5,58.3,,,8.5,9.6,,687.0
707,Nivea shea smooth body milk,,,,,,,0.0,
708,Schezwan Sauce,2.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0
709,Dried Cranberries - Nutraj - 180g,0.51,0.05,86.47,49.69,,0.99,,354.0
710,Bingo Mad Angles PIZZA..AAAAH - ITC - 36.5g,,,,,,,0.0,
711,Amul Lassi,2.0,1.2,14.0,25.3,,2.0,,87.0
712,Parle-G Original Gluco Biscuits - 800 g,13.0,6.0,77.3,25.5,,6.9,0.752,454.0
713,Cadbury celebrations - chocolates - 135.7g,,64.1,61.2,,5.9,,,
714,full bloom,,,,,,,0.0,
715,Medu avada - Minute khana - 283 g,20.69,1.724,36.207,0.0,5.172,13.793,1.422,379.0
716,asitis - 500g,,1.0,0.0,0.0,27.0,0.0,,
717,Popcorn - 15,39.0,17.0,49.0,0.0,8.0,7.0,,574.0
718,Kelloggs - kellogg's - 240g,6.0,0.75,80.0,16.0,5.0,8.0,0.15,398.0
719,Frooti - parle Agro - 150ml,2.5,1.0,16.2,15.5,,0.0,,65.0
720,"Nouilles instantanées, Super Piquant et épicé - Nongshim",14.0,6.7,67.0,3.7,,8.1,3.2,426.0
721,Saffola Masala Veggie Twist Oats - 38 g,9.9,3.4,,69.2,5.1,12.4,5.0,376.0
722,5star - Cadbury - 25g,15.9,9.0,72.7,60.5,,3.3,0.378,447.0
723,Premium kachi ghani pure mustard oil - Fortune - 1 L,13.6,12.0,66.0,27.0,1.0,0.0,0.0,900.0
724,Cracker - Britannia - 100g,,72.0,0.5,0.0,10.0,,0.0,
725,Badam drink mix - MTR - 500g,4.8,0.4,80.0,76.0,1.1,4.8,0.132,382.0
726,Dairy Milk Silky Bubbly BubbleGum - Cadbury - 120g,31.6,21.1,0.1,,58.9,58.3,,544.0
727,Micronized Creatine Powder - Optimum Nutrition - 250g,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
728,Gatorade,0.0,0.0,6.0,6.0,0.0,0.0,,24.0
729,yippee noodles (ITC) -  - 420g,20.1,10.7,2.6,128.5,0.1,62.6,4.6,459.0
730,Chocolate Milkshake - Cavin's - 1 Liter,5.6,3.6,,17.6,33.0,8.0,3.0,107.0
731,Jamaican All Spice - 1,,62.5,,,49.2,,,
732,Jolochip,30.8,30.8,21.4,0.0,,14.2,,0.0
733,Creamy Dark Chocolate Peanut Butter - Muscle Blaze - 750g,45.42,12.76,,21.85,18.32,3.02,30.0,610.0
734,Puff Dough Paratha - Switz - 400 grams,14.0,0.0,43.0,3.0,10.0,8.0,425.0,330.0
735,Tropicana,0.0,0.0,14.4,13.5,,0.0,,57.0
736,Matcha Green Tea - 50 g,8.6,0.0,60.64,0.0,0.0,23.09,,409.0
737,Ragi with oats biscuits,20.23,0.0,64.31,3.13,6.86,6.13,,463.0
738,Sweet cream vanilla,2.3,1.3,14.1,3.0,2.5,2.3,,65.0
739,Jaw dropping skin,0.0,0.0,100.0,100.0,,0.0,22.5,900.0
740,Badam Shakers,4.5,2.8,13.0,13.0,0.0,3.0,0.105,104.0
741,100 Pipers - Seagram’s,0.0,,0.0,,,,,
742,Sweet Cannoman Peanut Butter,42.53,6.23,30.3,17.89,6.93,22.05,0.112,592.0
743,Masala delight,19.0,9.0,65.7,2.0,2.0,9.0,4.05,469.0
744,Exotic Dark - Hershey’s,34.7,12.5,52.0,36.8,,8.0,0.848,552.0
745,Chupa chups mango + orange flavour,0.0,0.0,95.0,74.0,,0.0,,385.0
746,Green Chilli Pickle - Engine,7.63,,,9.41,,,2.97,118.0
747,Patal pohe chiwda - Kaka Halwai sweets - 250g,,,,,,,0.0,
748,Hi-Nutrition Breakfast Cereal,6.6,0.0,78.2,4.5,5.5,12.3,0.578,421.0
749,Waffy,18.4,8.0,74.6,52.6,,4.0,,480.0
750,Juzt Jelly,0.0,0.0,86.0,74.0,,0.02,0.0,346.0
751,Peanut butter,15.0,3.0,7.0,1.0,3.0,10.0,,194.0
752,20/20,,,,,,,0.0,
753,Sizzlin hot nacho,27.7,11.2,60.4,4.9,,7.4,1.608,520.0
754,Multani rajbhogprash,4.6,0.0,78.7,60.1,3.7,0.0,,357.0
755,rich tomato sauce - Maggi,0.0,0.0,30.2,27.0,1.3,0.6,2.084,121.0
756,Tomato Sauce,0.4,0.02,30.9,29.2,0.6,1.1,1.722,133.0
757,Oven Cookie - Margarita,5.0,1.0,20.0,12.0,,2.0,,130.0
758,Max protein active choco fudge bar,12.5,4.6,33.9,10.7,5.0,20.0,0.465,313.0
759,yavira - Kimaya Himalayan Beverages - 500 ml,,,,,,,0.0,
760,Hangyo Pink Guava Icecream,10.2,6.4,21.7,18.45,,3.6,0.325,193.0
761,Hangyo Roasted Almonds Icecream,11.3,7.1,22.1,18.0,0.0,4.0,,206.0
762,Patanjali Atta noodles Chatpata flavour,18.88,5.15,62.43,5.81,0.0,10.44,3.525,461.0
763,Wai wai masala noodles,21.0,9.5,60.0,1.0,2.0,10.0,,469.0
764,Prem raisins -,,,,,,,0.0,
765,Aloo bhujia -,,,,,,,0.0,
766,Tata Go fit plant protein shake,4.0,1.0,9.6,0.4,,72.0,2.28,372.0
767,Mixed Fruit,0.0,0.0,13.1,13.1,,0.2,,52.0
768,Rajdhani Maida -,,,,,,,0.0,
769,Sharbat Khus - Shree Guruji - 750ml,0.21,,72.92,52.21,,0.1,0.039,275.0
770,Happychef Tandoori Paneer Tikka Pizza - 240 g,9.0,4.5,0.0,,30.0,2.0,1.0,240.0
771,Winkies chocolate swiss roll,15.91,4.21,59.41,28.91,,6.75,0.259,407.0
772,Danish bun,6.4,5.6,57.3,18.0,0.0,8.3,,320.0
773,Ringo Star ring -  - 100g,22.0,9.9,66.5,3.13,,7.0,,492.0
774,Maggi pazzta,1.9,1.5,69.8,6.8,2.0,7.7,1.78,321.0
775,8.46E+12,,,,,,,0.0,
776,Nature's essence almond and honey -  - 400ml,,,,,,,0.0,
777,yippee! - sunfeast - 280g,18.6,9.6,62.5,3.6,0.0,9.6,,488.0
778,Kismis - Parle - 12g,,,,,,,,410.0
779,Myfitness Chocolate peanut butter - 510 g,46.875,9.375,18.75,9.375,6.25,25.0,0.867,615.0
780,Little Heart 75g - 50,,,,,,,0.0,
781,FC cashew - 10,,,,,,,100000000000000.0,
782,Bru instant Coffee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
783,Hide and Seek chocochip cookies,21.4,9.6,69.5,28.9,,6.3,,496.0
784,Ferrero Rocher,42.7,14.1,44.4,39.9,0.0,8.2,,595.0
785,Kettle corn,2.8,1.0,23.0,12.0,1.0,1.0,0.295,125.0
786,31290143009,,,,,,,0.0,
787,Raspberry lucozade sport,0.0,0.0,6.3,3.5,0.0,1.2,0.12,113.0
788,trail mix - boyo - 200 grams,38.0,5.2,37.0,23.0,10.0,15.0,0.024,0.0
789,dairy milk - cadbury - 12 gram,27.9,18.7,64.2,61.0,0.0,5.6,0.231,572.0
790,delight nuts Omani dates,,,,,,,0.0,
791,amul masti dahi - 1 kg,,,,,,,0.0,
792,Veggie Chicken - Good dot - 250,3.62,,11.8,,,25.92,,183.0
793,X-press Instant Noodles Masala Delight,20.0,7.3,63.0,1.95,,3.0,3.15,468.0
794,Pistachios - Vinod - 250 g,7.0,33.0,10.0,13.0,20.0,1.245,,
795,Walnut Rernels - Vindo - 250 g,64.5,0.0,,11.0,0.0,2.6,15.6,687.0
796,Coconut Dreamz Biscuit,12.7,6.1,76.0,31.5,0.0,6.2,0.37,442.0
797,Mamra giri Almond - Bliss - 250g,55.02,0.0,16.06,0.0,10.65,22.12,0.0,641.0
798,gol kachauri - Haldiram's - 200 g,25.94,8.74,0.0,,52.7,7.84,4.86,490.0
799,Dry fruit mix - Haldiram's - 200 g,30.8,9.04,0.0,44.91,8.05,6.1,17.15,538.0
800,8.90E+12,8.5,,75.3,41.7,,8.5,,411.0
801,Multigrain Dosa - MTR - 500g,5.4,2.97,0.0,72.0,0.0,8.0,13.0,388.0
802,rasgulla - bikaji - 100,,,,,,,,313.0
803,Bikasul - 500 mg,,,,,,,0.0,
804,English oven -  - 400g,88.0,66.0,22.0,77.0,5.0,9.0,8.0,252.0
805,Knorr soupy noodles mast masala,15.8,7.6,63.3,10.3,1.1,10.2,4.775,437.0
806,Kelloggs Crunchy Granola Almonds & Cranberries - 460 g,16.0,5.0,0.0,70.6,28.0,5.0,7.0,444.0
807,Yippe noodles - ITC - 60G,20.1,10.7,62.6,3.0,,9.0,,459.0
808,Good life black salt 200g -,,,,,,,0.0,
809,Marie Light,11.5,5.3,77.6,22.2,3.0,8.3,0.722,441.0
810,Fruit Blast Mixed Fruit Jam,2.0,0.0,65.5,65.3,0.0,2.0,,265.0
811,Amul Chocochips Icecream,13.5,8.4,27.6,24.5,,4.4,0.115,246.0
812,Arabian Premium Dates,0.4,0.0,19.6,15.5,0.0,0.5,,83.0
813,Glucose-D,0.0,0.0,90.0,0.0,,0.0,,360.0
814,Butter cookies,19.5,9.5,68.9,25.0,,7.5,,481.0
815,Breakfast protein bar - Yoga Bar - 50g,14.6,1.8,62.2,15.8,13.8,16.0,0.0,430.0
816,Maaza - 150 mL,0.0,0.0,11.0,10.7,0.0,0.0,0.055,44.0
817,Sofit Soya Drink (Kesar Pista Flavour) - Hershey's India - 1 l,1.6,0.18,0.001,0.03,0.0,0.0,10.8,70.0
818,Snappers,21.8,10.5,65.5,11.0,,7.3,,487.0
819,Doodh Biscuits,17.0,8.3,72.0,24.0,6.0,7.2,,468.0
820,NACHO CHIPS,22.11,3.84,66.26,5.24,3.98,7.43,1.596,493.0
821,Caramilk bars,12.0,6.0,80.0,58.0,0.0,2.0,,436.0
822,Chocos crunch bites - Kellogg's,3.1,1.1,84.9,31.0,30.0,4.0,0.45,390.0
823,Fruit Cake with Raisin & Tutti Frutti - winkies - 130 g,20.06,10.84,0.11,,53.09,32.87,,423.0
824,Slice - PepsiCo Inc. - 1.75 l,0.0,0.0,15.9,15.5,0.0,0.0,0.023,64.0
825,Cold coffee,0.318,0.195,7.064,6.264,0.0,8.182,0.0,63.0
826,Chat Masala - Bitta - 100gm,3.3,1.0,22.2,0.0,2.0,6.0,,30.0
827,Mithi orange candy - 100 g,0.0,0.0,97.1,70.0,,0.0,,385.0
828,אורז בסמוי חום מלא - וילי פוד,0.9,,25.6,,1.6,2.8,,124.0
829,Grape - Real - 1Litre,,,,,,,,60.0
830,3.95E+12,564.0,545.0,,,,,,
831,Protinex,2.1,1.5,54.4,15.0,0.0,34.0,0.75,373.0
832,8.90E+12,21.7,11.1,0.03,68.2,35.6,,6.6,494.0
833,Vanilla ice cream - Dinshaw - 700ml,,,,,,,,198.0
834,Brown Bread - Kwality - 400g,,,,,,,,264.0
835,OATS - Disano - 1 KG,7.38,1.31,65.04,1.0,14.1,17.83,,398.0
836,Ratlami sev - Haldiram's,42.04,16.82,38.76,0.0,,13.42,2.492,587.0
837,Cornflakes - Kellogg's,0.3,0.1,25.7,2.5,0.8,2.4,0.575,112.0
838,Sandwich Bread - Nilgiris - 400g,1.9,,54.98,5.06,2.1,8.4,,270.0
839,Rice bran oil,100.0,24.0,0.0,0.0,0.0,0.0,,900.0
840,8.90E+12,31.0,0.0,,58.0,52.1,0.0,6.0,535.0
841,Hershey's Spreads Cocoa with Almond - 150g,32.7,13.1,0.3,,61.4,59.5,,548.0
842,Intense café flavoured milk,1.6,1.4,10.8,9.4,0.0,3.2,0.23,70.0
843,Mad angles mmmmm masala,32.1,14.8,57.7,3.4,,6.6,1.925,546.0
844,Chowpati bhelpuri,16.0,13.0,45.0,4.0,8.0,13.0,0.992,564.0
845,Dried Dates - Dmart Premia Superior Quality - 500g,,,,,,,,366.0
846,Swiss Beauty Makeup Primer - 30 ml,,,,,,,0.0,
847,Chocolate family pack - Amul,12.2,,24.4,,,4.4,,222.0
848,Googly,23.94,13.65,68.33,21.49,,6.23,0.335,460.0
849,Poha - Lazmi - 1kg,0.22,79.38,7.12,3.85,0.0,5.6,,
850,Tropicana,0.0,0.0,12.4,12.0,0.0,0.1,0.0,50.0
851,Fanta - coca cola company,,,,,,,,56.0
852,8.90E+12,19.1,11.5,72.6,28.8,,6.0,,487.0
853,Classic Dahi - Mother Diary,3.0,2.1,5.0,5.0,0.0,3.7,0.1,62.0
854,Roasted Flax Seeds - Himalayan Natives - 150 g,40.6,4.89,29.35,0.0,25.22,21.55,0.2,569.0
855,Topp Up,3.0,1.9,25.8,15.4,60.0,6.5,0.25,172.0
856,Parle G biscuits,14.6,6.8,75.9,27.7,,6.7,0.702,462.0
857,Orbit Sepermint Flavour,1.5,1.2,70.0,0.0,0.0,0.0,,185.0
858,Peanut Butter - My Fitness - 1.25 Kg,50.0,10.0,19.0,10.0,,26.0,0.875,625.0
859,Butter Bonn Biscuits,19.4,9.46,74.3,26.5,0.9,7.2,0.87,503.0
860,creamy corn,6.7,4.1,71.4,11.4,,10.3,,382.0
861,Dry Fruits,0.5,0.0,15.0,9.0,3.0,1.1,,61.0
862,Doritos,7.0,1.0,18.0,0.0,1.0,2.0,0.7,150.0
863,Stack Up - Simply Salted - Balaji Wafer - 60g,31.1,15.4,58.7,0.5,0.0,4.8,2.125,541.0
864,Special Toned Milk - nandini - 200ml,,,,,,,0.0,
865,Pepsi,0.0,0.0,10.9,10.9,,0.0,,43.0
866,Instant noodles - Maggi,13.5,8.2,59.6,1.8,,8.0,4.6,389.0
867,Choco Fill'O' - Gone Mad - 24 g,18.0,9.0,0.1,72.0,28.0,,6.0,476.0
868,Lay's American Style Cream And Onion,33.0,12.5,53.0,16.0,0.0,6.7,,100.0
869,garlic,26.71,12.37,58.16,4.9,,6.1,1.588,497.0
870,cornado,29.0,13.0,63.0,3.0,4.0,5.0,1.575,530.0
871,collagen refreshers,0.0,0.0,3.0,1.0,0.0,11.0,0.0,60.0
872,Dlecta Natural Cheddar,30.0,,6.0,,,24.0,,390.0
873,Tiger glucose biscuits - Britannia - 49.7 grams,13.4,6.5,76.6,24.1,,7.5,0.317,457.0
874,banana mari,36.21,18.0,54.58,0.0,0.0,2.77,,555.0
875,Pure Made Syrup - Torani,,,66.7,66.7,,,,266.0
876,Horlicks - 18g,,,,,,,0.0,
877,Taan jeera masala sofa,0.0,0.0,8.2,8.2,,0.0,0.0,33.0
878,Elite good for you - 200g,0.38,51.48,1.78,,6.26,246.0,0.0,
879,Bourn Vita,15.1,6.7,73.5,34.2,,6.7,0.705,455.0
880,Soystix - Haldiram's,12.0,3.0,17.0,1.0,1.0,3.0,1.025,190.0
881,Tofu - Mooz Formaggio - 200 g,2.89,,4.5,,,14.19,,140.0
882,chocolate,33.0,21.1,57.0,32.0,11.8,7.2,,554.0
883,Britannia treat Croissant Mixed Fruit - 47g,16.2,8.51,59.0,26.2,,5.5,2.0,404.0
884,Tarte en or - Herta,9.9,3.8,18.0,0.8,2.8,7.4,38.0,8.0
885,Papdi gathiya,46.5,21.0,36.0,1.0,,12.5,1.978,628.0
886,banana sily yellow,33.4,0.0,58.5,0.0,0.0,3.1,,546.0
887,cold coffee,0.944,0.667,6.333,6.333,,1.889,,41.0
888,Britannia Good day Chocolate Cookies,24.0,14.1,68.0,33.4,,6.1,0.51,512.0
889,Jim Jam - Britannia - 25g,,,,,,,,483.0
890,Rasgulla - Haldiram's - 1kg,1.071,0.0,57.143,53.571,3.571,7.143,,250.0
891,Whole Wheat Sandwich Bread - Britannia,2.0,1.0,0.5,0.5,0.0,50.0,2.0,242.0
892,Pintola High Protien Peanut Butter - 1kg,38.0,7.0,,27.0,15.5,6.2,30.0,583.0
893,strawberry milkshake,5.9,3.9,21.8,21.4,,4.3,0.29,157.0
894,7up 750ml - PepsiCo - 750 ml,0.0,0.0,11.7,11.7,,0.0,,47.0
895,Dahi,3.0,0.0,4.52,0.0,0.0,3.6,,60.0
896,Yippee magic masala noodles four in one pack,20.1,10.7,62.6,3.0,,9.0,0.935,459.0
897,Hide and seek chocolate chip cookies,18.0,9.4,73.4,32.5,,5.9,0.285,479.0
898,Bovonto,0.0,0.0,17.0,17.0,0.0,0.0,,68.0
899,Organic Coconut Oil,100.0,82.5,0.0,0.0,0.0,0.0,,890.0
900,COCOA POWDER,11.1,7.1,49.7,0.0,,23.2,0.1,393.0
901,"Isopure, Low Carb, Dutch Chocolate - Nature's Best",1.515,,3.03,,3.03,75.758,,333.0
902,Curd,48.0,2.5,6.0,6.0,0.0,4.0,0.125,76.0
903,Max protein,7.7,1.7,31.7,1.5,7.0,20.0,0.0,230.0
904,aamras,0.0,0.0,8.0,6.0,0.0,0.0,0.0,67.0
