,name,nutri_fat,nutri_satuFat,nutri_carbohydrate,nutri_sugar,nutri_fiber,nutri_protein,nutri_salt,nutri_kcal
905,Fresho Frozen Green pea - Big basket - 500g,0.1,0.0,14.3,0.0,,8.5,0.0,92.0
906,"Strawberry, Chocolate, Jaggery - again - 180 ml",2.0,1.2,0.1,,12.0,11.0,0.0,78.0
907,Confiture cherry reserve,0.1,0.0,65.0,64.0,0.9,0.6,0.0,261.0
908,Marie Gold - Britania - 45g,,,77.5,,,8.3,,453.0
909,Green Tea - 1,,,,,,,0.0,
910,Gourmet Vintage Cheese & Paprika Chips,25.8,11.6,61.2,3.6,,7.6,1.555,507.0
911,Poop,1.0,1.0,0.0,0.0,81.0,100.0,0.0,400.0
912,Disinfecting wipes,24.5,11.6,66.2,39.7,0.0,5.1,0.488,100.0
913,Orion The Ultimate Choco Chip Cookies - 100 g,30.0,17.9,0.04,59.2,26.5,,6.0,531.0
914,Southern Classic Bread - fresh choice - 400 g,0.8,0.6,0.1,0.1,,,13.0,276.0
915,Rabdi Milkshake - Cavin's - 180 ml,,,,,,,,241.0
916,TeaCountry Green tea -  - 1,0.1,,63.0,1.7,,23.5,,347.0
917,Mixed Fruit Delight - Tropicana,0.0,0.0,12.3,12.0,,0.0,,49.0
918,Farali Chevdo,38.9,14.0,40.9,8.0,0.0,15.2,,589.0
919,choco cookies,20.5,12.8,68.0,29.0,,5.8,,480.0
920,Cream & Onion,10.0,5.0,75.0,5.0,10.0,10.0,1.712,430.0
921,Strawberries & Cream Protein Milk Shake,1.9,1.5,3.5,0.0,1.25,8.5,0.0,65.0
922,Lay's sizzling hot,33.0,12.5,53.9,2.3,,6.6,1.388,538.0
923,Ratlam sev,0.0,0.0,3.8,1.2,0.7,3.2,,5.0
924,Vegan Pistachio Millet Biscuit - Karachi's - 300 g,37.5,15.536,0.1,,53.036,20.536,8.929,571.0
925,Veg Hakka Noodles,1.0,0.0,78.0,0.0,0.0,12.667,1.208,373.0
926,Dutch Chocolate Flavoured Protein Powder - Isopure,1.515,,3.03,,3.03,75.758,,333.0
927,Nandini goodlife pista flavouring milk,3.1,2.0,13.3,13.3,0.0,3.0,0.0,93.0
928,maaza - coco-cola - dest taste of mango& 200ml,0.0,0.0,12.5,12.3,0.0,0.0,0.0,50.0
929,Neycer - 500 ml,,,,,,,,
930,Extra virgin olive oil - BORGES - 1 l,100.0,16.0,75.0,10.0,0.0,0.0,0.0,900.0
931,Poprings Masala - Balaji - 22 g,,0.0,63.5,4.0,,5.8,2.558,
932,Max protein 7 grain breakfast cookie - RiteBite - 55 g,26.3,12.7,43.4,30.7,7.2,18.18,0.0,470.0
933,Nan pro2,0.0,,0.0,,,,,
934,Parle-g,13.0,6.0,77.3,25.5,0.0,6.9,0.74,454.0
935,Marie light,11.0,5.6,77.4,21.3,,9.1,0.731,445.0
936,Sandwich plus,2.0,1.56,8.0,7.16,3.54,16.72,2.31,520.0
937,Nimbu Pani,0.0,0.0,14.0,12.0,,0.0,0.0,52.0
938,Harvest Gold White Bread,0.52,0.1,49.0,3.0,2.9,6.57,1.242,227.0
939,Mad Angles MMMMM Masala - Bingo,32.1,14.8,0.1,,57.7,3.4,,538.0
940,Ghee -  - 500ml,,,,,,,0.0,
941,Oat clusters and Ragi flakes eith strawberry,10.2,4.0,76.5,17.9,11.8,9.1,0.312,434.0
942,Badam Flavoured Milk - Godrej Jersey - 190 ml,1.5,,13.7,8.8,,3.1,,80.0
943,Wafer Style Sundried Chilli Flavour - Lay's - 26.5 g,33.6,12.7,0.1,52.5,1.0,,6.7,539.0
944,Wafer Style Tangy Treat Flavour - Lay's - 26.5 g,33.6,12.7,0.1,53.5,3.6,,6.5,543.0
945,2-minute noodles - Maggi - 70g,13.5,8.2,0.13,59.6,1.8,2.0,8.2,389.0
946,Mala's -  - 500g,,,,,,,0.0,
947,Marie Gold - Britannia,10.7,5.2,78.9,21.9,,8.4,0.798,445.0
948,Oreo Cricket Edition,38.0,9.8,38.0,38.0,0.0,0.0,1.05,599.0
949,Chips Mast Masala - Haldiram's,34.0,16.0,54.0,0.3,,6.0,2.268,546.0
950,Sandwich bread,1.7,0.6,52.0,3.2,,7.3,1.138,252.0
951,Monaco,20.6,9.7,68.8,8.4,,7.9,2.228,492.0
952,Mixed Frozen Berries,0.0,0.0,6.9,6.7,3.8,0.0,0.002,43.0
953,Max Protein Chips Peri Peri - RiteBite,22.7,4.5,49.8,3.0,,16.7,0.833,477.0
954,Popz,17.0,8.0,71.0,32.0,3.0,7.0,,465.0
955,Basil seed drink,0.0,0.0,38.0,36.0,0.0,0.0,,150.0
956,test 2 - 100g,,,,,,,0.0,
957,Nutty Chips - Open Secret,8.0,0.7,15.0,0.7,,4.0,,153.0
958,Max Protien - RiteBite,22.833,4.5,49.667,4.0,6.667,16.667,2.083,478.0
959,Saundarya aloe vera gel -  - 150ml,,,,,,,0.0,
960,Klondike bar original,16.471,12.941,32.941,27.059,1.176,3.529,0.206,282.0
961,Smoodh,,,,,,,,81.0
962,Happy Happy Choco-Chip Cookies - Parle - 60 g,20.1,10.6,0.0,,71.3,30.6,,489.0
963,Potato Lite - Haldiram Snacks Pvt. Ltd. - 15g,23.44,9.96,65.8,,4.68,1.25,2.36,479.0
964,Adrak Elaichi - Chaayos,16.1,,57.9,16.2,,18.0,,445.0
965,PHALHARI CHIWDA - Haldiram - 45g,42.0,8.67,38.0,10.0,4.44,14.2,0.559,596.0
966,Nextar Soft Brownies - Nabati - 36 g,20.0,9.0,68.0,25.0,0.0,5.0,0.605,471.0
967,Delista macaroni - Haldiram's - 200g,1.0,0.4,78.1,0.2,,9.8,0.0,360.0
968,Punjabi Khichdi - Fortune - 60g,4.0,1.0,68.0,1.0,,12.0,0.0,356.0
969,Ginger Garlic paste - Bambind - 20g,0.42,0.0,0.0,,15.48,0.0,0.0,79.0
970,kachi ghani mustard oil - Nature fresh - 455g,100.0,5.5,0.0,0.0,0.0,0.0,0.0,884.0
971,maggi Pichkoo tomato ketchup - Nestle - 90g,0.0,0.0,30.0,26.5,1.3,0.9,1.942,121.0
972,Peanut Butter - Sundrop - 924g,15.0,0.0,19.0,8.0,5.0,26.0,0.875,641.0
973,Kerala virgin coconut oil,4.55,4.18,0.0,0.0,0.0,0.0,0.0,40.0
974,Milky bar - Nestlé - 42 g,27.3,25.1,0.05,51.6,39.9,1.0,11.1,119.0
975,Amul Kool Rose,5.6,3.4,22.5,22.5,,5.6,0.195,163.0
976,"Chokissimo Choco Brownie - Cornetto - 72 g, 110 ml",16.7,7.64,0.111,,43.5,28.8,1.39,347.0
977,Vedica Zen - Bisleri - 500 ml,,,,,,0.035,,
978,"Chocolate Chunk Nuts - Yoga Bar - 1pc, 38 g per serving",5.6,1.0,24.3,7.6,3.2,4.7,,157.0
979,"Sun lite - Fortune - 1 l, 910 g",100.0,17.0,14.0,49.0,2.0,0.0,0.0,900.0
980,Garam Masala - Priya - 100 g,8.0,2.0,0.1,0.3,0.0,,20.0,850.0
981,Hot and sweet sauce,0.0,0.0,31.5,27.4,0.8,11.0,1.974,127.0
982,kick,,,,,,,0.0,
983,Instant noodles chicken flavour - 70 g,16.0,8.0,65.0,3.0,,10.0,,448.0
984,TOMATO KETCHUP CLASSIC BLEND - Del Monte - 950 g,0.0,0.0,27.0,18.4,,0.0,1.62,108.0
985,Chocobakes - Cadbury - 126 g,21.9,14.1,0.1,,63.7,41.1,,465.0
986,Antioxydant mix,44.0,12.4,20.7,0.0,13.86,29.1,,595.0
987,Chocos - Kellogg's,2.9,1.2,83.6,30.5,5.0,9.0,0.33,387.0
988,Amul Cheese Slices - 100 g,25.0,16.0,,1.5,0.0,0.0,20.0,311.0
989,Spicy crackers,13.3,5.5,70.2,8.5,0.0,9.1,,436.0
990,Chocolate Wheat Flakes,2.8,2.6,80.6,28.9,8.2,11.0,,392.0
991,Roasted makhana,20.0,3.0,65.0,2.0,6.0,7.0,1.42,468.0
992,Lavash flatbread,2.39,0.21,77.7,4.78,0.0,12.74,0.0,383.0
993,Chocobakes - Cadbury - 75 g,24.5,11.6,0.1,,66.2,39.7,,501.0
994,Puff - PRIYAGOLD - 40g,22.32,11.23,64.35,29.0,,7.46,0.406,497.0
995,Peanut Butter - Pintola - 1 kg,50.0,10.0,0.0,,19.0,10.0,5.0,149.0
996,Bisleri Limonata - 600 ml,0.0,,11.9,12.5,,0.0,0.0,48.0
997,"Magnum Chocolate Truffle - Unilever - 62 g, 80 ml",12.1,7.7,0.1,,17.0,14.1,1.6,184.0
998,Nestea Iced Tea Lemon flavour - Nestlé - 200 ml,0.0,0.0,6.0,3.6,0.0,0.0,0.0,25.0
999,Garlic mixture - Rajam snacks - 800 g,36.89,,0.07,42.32,,,14.41,559.0
1000,Masala peanuts - sowbhagya foods,37.6,,22.4,,14.4,21.4,0.8,513.0
1001,Room freshner - 140g,,,,,,,0.0,
1002,Good Day Harmony - Britannia Industries Ltd - 120 g,25.0,11.2,10.5,2.8,,64.8,21.5,513.0
1003,Fantastik Chico Bar XL - Candyman,29.4,28.2,60.6,51.6,,7.2,,536.0
1004,Khasta crispy masti,10.8,3.1,7.8,0.9,2.2,6.0,0.361,149.0
1005,Godrej Jersey Paneer - 200 g,23.0,,4.0,,,17.0,,291.0
1006,Haldiram - 1 kg,7.4,1.3,65.1,0.0,11.3,12.0,5.1,386.0
1007,Fresh rice vermicelli - Bun Tuoi - 200 g,0.0,0.0,80.0,0.0,2.0,4.0,0.8,332.0
1008,Extra Virgin Olive oil - Del Monte - 250 ml,91.6,13.0,0.0,0.0,0.0,0.0,0.0,824.0
1009,Nice Sugar sprinkled coconut biscuits - Dukes - 150g,14.5,7.5,74.0,28.2,,7.4,,454.0
1010,Bhujia,45.0,14.0,37.0,0.0,6.0,14.0,1.995,609.0
1011,Mixed fruit juice,0.0,0.0,12.2,0.0,,0.0,0.0,4.0
1012,Horlicks - 200g,,78.0,14.0,,10.0,,,
1013,Center Fresh GUM - 7.2g,,,,,,,0.0,
1014,Marinierte Sardellenfilets - Medusa,6.8,0.9,0.1,0.1,,19.0,,139.0
1015,Oreo chocolatey sandwich biscuits,19.7,9.8,71.4,38.0,0.0,5.0,1.05,483.0
1016,Organic Cow Ghee,99.84,63.6,0.0,0.0,0.0,0.0,0.0,898.0
1017,Nutri Choice,21.0,10.2,68.4,14.4,6.0,8.6,1.158,485.0
1018,Maggi Pichkoo,0.0,0.0,33.5,30.8,1.8,1.2,2.565,139.0
1019,Mixed Berries alovera juice,0.0,0.0,13.8,13.3,5.3,0.6,0.162,57.0
1020,Natkhat Nimbu Lemon Hit Namkeen,9.84,2.57,10.94,0.0,,1.33,,137.0
1021,Healthy Breakfast Cereal,1.03,0.18,24.31,1.29,2.13,3.36,,120.0
1022,Instant Bhel - Haldiram's - 44 g,36.5,15.4,43.8,8.61,5.66,14.0,0.889,570.0
1023,Aloo Bhujia - Haldiram's - 42 g,38.12,13.64,46.1,0.25,0.83,8.68,1.562,562.0
1024,Dairy milk chocolate fruit and nut,28.6,16.4,59.0,52.3,0.0,8.5,,522.0
1025,Yippee magic masala,20.0,10.667,62.667,3.0,,9.0,3.118,460.0
1026,Sunfeast Yippee! noodles Magic Masala - ITC - 405 g,20.1,10.7,0.0,62.6,3.0,,9.0,459.0
1027,Peanut satay Chunky sauce - F.Whitlock and sons,2.6,0.8,5.9,4.9,,1.3,,52.0
1028,Shri Neelkamal - 500g,0.83,0.0,78.99,0.0,5.8,10.02,0.0,363.0
1029,CAKE 100 VEG Gobbles fruity fun - Britannia - 64g,18.4,7.9,6.4,3.6,0.1,57.0,26.0,420.0
1030,Bambino Vermicelli - 90g,1.0,0.3,77.5,0.0,3.0,10.5,0.0,361.0
1031,WeikField baking powder - 100g,0.0,0.0,45.6,0.0,0.0,0.1,0.1,183.0
1032,WeikField Coco powder - 50g,11.1,7.1,49.7,0.0,0.0,23.2,0.1,393.0
1033,Sunfeast Yippee noodles - 67.5 g,20.1,10.7,0.0,,62.6,3.0,0.0,459.0
1034,Kwality x Wall's Desi Twist Creamy Kulfi - 700ml,,,26.6,24.0,0.862,4.31,11.9,229.0
1035,Fruit drink,0.0,0.0,10.0,10.0,,0.5,,42.0
1036,Papacream X Rhea Kapoor Hazelnut Cold Coffee - 450ml,10.12,6.5,19.7,10.67,,,,183.0
1037,All time mixture - Biicano,10.0,4.0,14.0,2.0,0.0,4.0,0.575,160.0
1038,Cup noodles,19.2,9.6,60.9,2.2,,10.0,,455.0
1039,Graine de tournesol au thé vert,52.6,5.7,13.6,4.3,0.0,24.5,1.79,620.0
1040,Orange Burfee - Haldiram's - 250g,1.3,0.52,0.0,,66.91,57.74,1.81,296.0
1041,Pizza and pasta sauce - Del Monte Quality - 100g,4.1,1.2,0.0,39.5,18.7,0.0,4.9,215.0
1042,Veg mayonnaise for burger,42.1,7.6,20.1,14.3,,1.6,1.62,465.0
1043,Amul kool elaichi flavour - 180 ml,5.6,3.4,,22.5,22.5,,5.6,163.0
1044,KitKat - Nestlé - 38.5 g,25.6,24.0,51.2,33.2,2.5,6.4,0.243,589.0
1045,Pure honey,0.0,0.0,82.4,82.12,0.0,0.3,0.1,300.0
1046,Creamy Peanut Butter - MaraNatha,7.778,1.111,4.444,1.111,1.111,4.444,,100.0
1047,नवजीवन हिंग - 10g,2.3,1.3,77.4,,,6.1,,355.0
1048,Minute Maid Apple - 150 ml,,,11.0,9.0,,,,44.0
1049,Oats multigrain - Quaker,8.0,1.8,70.7,2.2,10.0,11.1,0.292,399.0
1050,Atta with Multigrains,2.0,0.0,72.0,5.0,14.0,14.0,,370.0
1051,هاي تي - 225,,,,,,,0.0,
1052,Mirinda - PepsiCo Inc. - 250 ml,,,13.8,13.8,,,15.24,55.0
1053,Potato chips Star - 14g,32.2,13.11,56.6,3.6,4.08,6.3,114.7,541.0
1054,कोल्हापूरी दरबार चिकन ६५ मिक्स - 200gm,1.0,,58.0,,,3.0,,253.0
1055,Chilli Chatka - 1kg,34.5,15.5,59.2,20.0,12.0,5.6,,558.0
1056,Mango Smoothie with Mango Chunks - Sunfeast - 300 ml,1.0,0.7,,17.4,17.0,,1.0,83.0
1057,Chocos Moons and Stars - Kellogg's - 350 g,,84.0,30.0,1.67,3.67,8.67,1.0,
1058,best ever sunlight - 1,2.0,2.0,2.0,2.0,2.0,,2.0,22.0
1059,Good Day,23.4,11.5,67.7,21.9,,6.6,0.578,508.0
1060,West Indies hotn sweet chilli,32.0,12.1,55.1,6.0,,6.4,1.678,534.0
1061,Cadbury Crackle - Hindustan Unilever limited - 420g,7.7,4.5,19.2,16.6,0.6,2.3,0.091,155.0
1062,veg mayonnaise - Dr. Oetker - 250g,24.9,4.6,21.3,12.7,,0.9,2.438,312.0
1063,COFFEE,2.0,0.0,72.0,0.0,0.0,16.0,,375.0
1064,2-minutes masala noodles - Nestle nutrition - 280g,13.5,8.2,59.6,1.8,2.0,8.2,1.028,389.0
1065,OREO,,,,,,,0.0,
1066,Just pomegranate,0.0,0.0,4.848,3.636,1.212,0.455,,16.0
1067,Cheesy Sauce - Wingreens Farms - 180 g,50.5,8.5,1.0,,8.3,6.5,,492.0
1068,Soya milk powder - 500 g,18.7,0.0,22.3,0.0,21.4,49.0,1.178,461.0
1069,Aloevera pulp & juice - Yoga pulp - 200ml,0.0,,,,,0.0,,32.0
1070,Chat Masala - BHARAT MASALA - 50g,1.5,0.5,22.0,,,4.5,,119.0
1071,Treat Cream Wafers,24.2,19.0,67.5,41.6,0.0,6.3,,513.0
1072,YiPPee Pasta Treat,4.0,2.0,70.0,7.7,0.0,12.0,,357.0
1073,Doritos,23.4,9.0,65.1,4.5,,7.1,1.512,499.0
1074,Mr noodles,22.37,10.13,60.35,2.09,6.15,8.96,0.969,0.0
1075,Koko Krunch,12.5,6.8,57.8,16.7,3.2,6.0,2.0,0.0
1076,Desi Ghee,99.7,67.0,0.0,0.0,0.0,0.0,,927.0
1077,Garlic Paste,0.4,0.1,25.6,0.0,4.4,5.1,,126.0
1078,Fanta,0.0,0.0,14.0,13.7,0.0,0.0,,56.0
1079,Pazzta Masala Penne - Maggie - 65 g,1.7,1.3,66.3,3.6,3.6,10.3,2.008,314.0
1080,The Whole Truth Bar Cranberry,11.8,3.2,21.2,14.6,2.2,12.0,,235.0
1081,LION Layina dates,0.3,0.0,77.8,69.81,1.54,2.31,1.665,323.0
1082,"Sunfeast Dark Fantasy Bourbon, Classic Biscuit - 50g",,,,,,,0.0,
1083,real apple juice - 1l,,,,,,,3850000000000.0,
1084,Sunfeast glucose biscuits,10.4,0.01,78.8,28.5,,7.1,5.75,437.0
1085,Milk Blast,32.8,32.76,58.26,44.0,,3.41,,580.0
1086,Soya Drink Vanilla Flavour - sofit - 200 ml,3.2,0.36,0.74,1.8,1.6,25.2,23.7,77.0
1087,Mediterranean Khubus 6's,0.3,0.0,64.2,2.5,,7.7,,290.0
1088,cornitos Nacho Crisps - 60g,,,,,,,0.0,
1089,farm land frozen green peas - Farmland - 1kg,0.0,13.5,1.0,0.0,0.0,0.0,,
1090,99% Cacao Ultimate Dark Chocolate - Amul,40.8,23.1,28.4,1.2,,14.7,0.15,522.0
1091,Snikers,25.4,10.0,57.7,49.5,,9.3,0.555,487.0
1092,Potato chips,6.7,2.8,10.1,0.3,,1.4,,106.0
1093,Peanut butter regular - sundrop - 924g,55.0,14.8,29.6,8.0,0.0,,15.2,647.0
1094,Marie Gold - Britannia - 1 Packet,10.7,5.2,78.9,21.9,,8.4,,445.0
1095,Curd,3.0,1.9,5.2,1.0,0.1,3.5,0.112,61.0
1096,green peas onion garlic - heritage namkeen Pvt ltd - 25g,,,,,,,0.0,
1097,Hazelnut Spread with Cocoa PMP - nutella - 825 g,30.9,10.6,57.5,56.3,,6.3,0.107,538.0
1098,Frooti - Parle - 300ml,,,16.2,2.5,,,,65.0
1099,Maxirich Multivitamin - Nutrraceutical,54.5,,7.27,0.0,,1.82,,532.0
1100,Coke - Coca cola - 2 l,0.0,0.0,10.156,10.156,0.0,0.0,,36.0
1101,Pintola all natural peanut butter (crunchy) - 1 kg,50.0,6.25,18.75,3.125,9.375,31.25,,637.0
1102,Pringles - Kelloggs - 107g,27.9,14.0,0.3,62.8,0.4,0.0,5.0,523.0
1103,Mango Pickle - Swastiks - 100g,2.4,0.3,0.0,,2.5,1.5,0.7,0.0
1104,Treat Jimjam,19.0,9.5,73.0,33.5,,5.0,0.0,483.0
1105,Krack Jack - Parle - 250g,19.9,9.4,0.0,,70.5,19.6,,489.0
1106,Kelloggs Corn Flakes - 100g,9.3,0.2,36.0,2.5,0.8,2.0,0.525,260.0
1107,Steel cut oats,8.5,1.3,66.0,0.0,10.2,14.2,,397.0
1108,Sago ball - Gopal,26.2,13.0,69.0,4.0,1.0,1.2,,516.0
1109,Lotte Choco Pie - 56g,17.0,12.0,17.0,,68.0,34.0,0.0,441.0
1110,50-50 Maska Chaska - Britannia - 45.5g,26.0,13.0,0.0,60.0,7.5,0.0,7.0,502.0
1111,All Rounder - Sunfeast - 75g,19.5,9.6,0.0,66.7,15.4,0.0,7.2,471.0
1112,Toastea premium rusk - Britannia - 200g,8.3,3.9,0.0,,80.7,23.0,0.0,433.0
1113,Swing,0.0,0.0,8.8,8.6,0.0,0.0,,34.0
1114,Molsis Zahidi Dates - Bolas Agro - 500g,0.0,0.0,,68.0,60.0,8.0,4.0,280.0
1115,Enerzal,0.0,0.0,13.5,10.35,,0.0,0.356,54.0
1116,Nutrela,1.31,0.31,63.9,0.0,10.02,21.92,17.0,355.0
1117,Boisson soja,0.8,0.3,2.8,1.95,0.4,1.9,0.15,41.0
1118,Britannia - 78g,10.7,5.2,78.9,21.9,0.0,8.4,0.0,0.0
1119,Lipton Green Tea - Unilever and PepsiCo. - 25N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120,Sprite Coca-Cola - कोका कोला क - 2 l,,,12.2,11.7,,,25.65,49.0
1121,Classic Cold Coffee - Cothas - 250 ml,2.8,2.1,13.3,9.0,,3.4,,92.0
1122,Honey Bell vanilla cake,23.5,23.5,51.9,51.0,0.0,7.1,0.0,448.0
1123,Winkin Cow,4.4,2.8,16.7,16.7,,3.1,0.21,119.0
1124,Jeera Masala,0.0,0.0,5.0,5.0,0.0,0.0,0.0,20.0
1125,Savoriz - Bauli - 52 g,20.2,9.8,,,48.1,7.8,,405.0
1126,Tomato Ketchup - 950g,0.12,32.9,24.7,,1.4,,0.0,
1127,Tomato pickle,15.86,3.78,11.92,3.7,1.2,2.96,10.531,202.0
1128,Lemon pickle,11.77,3.08,8.33,1.6,,1.88,10.388,146.0
1129,Rol a cola,0.0,0.0,97.8,80.3,,0.0,,391.0
1130,Vatika shanpu - 6.6,75.0,55.0,55.0,87.0,86.0,89.0,66.0,25.0
1131,Dark fantasy,18.6,9.5,73.5,38.5,,5.3,0.3,482.0
1132,Orange Squash,0.3,0.0,52.5,52.0,0.1,0.2,0.2,214.0
1133,happydent,,,,,,,0.0,
1134,Drink - 8901764022708 - fanta,0.9,0.5,14.0,13.79,,0.0,,56.0
1135,Bread sticks Sesame,7.87,1.11,75.82,4.4,3.1,12.31,0.125,430.0
1136,Roll Yo!,15.7,8.6,60.0,38.2,,5.5,1.0,403.0
1137,Tomato Ketchup - kissan - weight: 1.2 kg,0.4,0.03,31.0,29.2,0.6,1.1,2.37,133.0
1138,Gamini,,,,,,,0.0,
1139,Golden sizzle,29.0,13.0,55.0,0.0,10.0,8.0,,510.0
1140,Tofu - 200 g,6.0,0.0,8.0,0.0,0.0,16.5,0.255,136.0
1141,Protein Peanut Butter,40.1,6.7,19.6,0.0,4.2,37.0,0.002,578.0
1142,STAINLESS - RK,,,,,,,0.0,
1143,Hajmola anaardana 120Tabs - 5,,,,,,,0.0,
1144,My companion Longbook 108p - 5,,,,,,,0.0,
1145,Milk shakr chocolate flavour - Hershey's - 1,1.889,1.389,16.778,16.778,0.0,1.778,0.129,90.0
1146,Bread sticks herb,9.8,0.0,68.5,2.7,,8.2,0.0,395.0
1147,Rice crisps,11.8,1.975,75.325,2.875,,6.85,,435.0
1148,Arabian Dates,0.3,0.0,77.88,69.81,7.35,2.31,0.154,323.0
1149,Peri Peri Sauce,3.85,0.6,7.52,3.85,,0.88,0.0,68.0
1150,Oreo - 7,19.5,9.7,70.7,38.6,,5.3,1.245,480.0
1151,Top ramen curry flavour - 5,18.7,9.2,64.6,5.1,0.0,8.9,0.0,462.0
1152,Greek yoghurt alphonso mango,1.7,1.2,15.6,11.8,0.0,6.4,0.105,103.0
1153,Rice cakes mix masala - 84 g,0.44,0.21,21.45,0.53,2.53,3.72,0.145,104.0
1154,Lassi,1.7,1.2,13.5,13.5,,1.8,,76.0
1155,Little hearts,19.5,9.4,70.0,23.0,0.0,7.4,,486.0
1156,Fried Rice with Chilli Paneer - Haldiram,6.357,2.143,17.857,0.357,1.429,3.571,,142.0
1157,Good Day Butter Cookies - Britannia - 68g,22.0,11.0,,67.0,22.0,,7.0,494.0
1158,Britannia Nutri Choice Digestive - 50g,,10.2,8.0,2.4,0.0,,68.4,497.0
1159,Protein Lassi - Mango flavour - Amul - 250 ml,0.32,0.2,,12.6,4.0,,6.0,60.0
1160,Mountain Dew - MEWATI 🔔 - 1.25 l,0.0,0.0,12.3,12.3,,0.0,0.02,49.0
1161,Vegain - Man matters,,,,,,,0.0,
1162,Sourdough. Pav - Bakers dozen,3.6,,49.0,,,8.85,,262.0
1163,Herbal Power Vita - Patanjali - 500 g,1.94,0.0,87.07,72.66,,6.53,,391.0
1164,Dant Kanti - Patanjali Ayurved - 150 g,,,,,,,0.0,
1165,Chocolat soy milk,1.5,0.3,9.9,8.9,0.5,3.4,,281.0
1166,Continental This is Caramel coffee - Continental Coffee Limited - 22g,3.0,3.0,15.3,11.6,1.5,0.79,0.16,92.0
1167,Barramundi - The Better Fish,1.327,0.442,0.0,0.0,0.0,18.584,,88.0
1168,Refreshing Green Tea Morocan Mint,0.1,0.0,70.28,0.1,0.0,18.79,0.0,352.0
1169,SPORT EVOLVE PERFORMANCE PLANT PROTEIN -TROPICAL MANGO - 1 kg,1.8,0.0,14.7,0.0,,73.5,,376.0
1170,Noodle snack - Tasty treat,,,60.0,,,10.0,,480.0
1171,fortune premium kachi ghani pure mustard oil - adani Wilmar - 1kg.,100.0,12.0,1.0,0.0,0.0,0.0,0.0,900.0
1172,Sting - 250 ml,0.0,0.0,7.0,6.8,0.0,0.0,,9.0
1173,Milk Cake - Lal,15.0,7.0,53.0,51.0,,10.0,,366.0
1174,Mixed pickle - Mother's Recipe - 1kg,,,,,,,9090000000000.0,
1175,Sprite - Coca Cola - 750 ml,,,,,,,0.0,
1176,Sprite,,,12.2,11.7,,,,49.0
1177,Patanjali Divya Jal - 1 l,0.0,,0.0,,,0.0,,0.0
1178,Lychee & Pink Guava,0.0,0.0,9.82,9.76,,0.29,0.0,40.0
1179,Kundan.kumar - dabar - 120g,50.0,50.0,25.0,50.0,50.0,50.0,50.0,1100.0
1180,Ginger Beer non-alcoholic,0.0,0.0,8.6,7.85,,0.1,,34.0
1181,Yakult,0.1,0.0,11.5,10.5,,0.8,0.0,50.0
1182,Milk-Ma Butter Cookies - 200g,16.0,0.0,48.0,1.14,1.42,6.28,0.518,362.0
1183,Milk-Ma whole wheat critters - 150g,16.0,0.0,48.0,1.14,1.42,6.28,0.518,362.0
1184,Cashew biscuits - Milk Ma - 200g,16.0,0.0,48.0,1.14,1.42,6.28,0.518,362.0
1185,Parle Mazelo Candy - 198 g,0.0,0.0,95.1,79.7,,0.0,0.046,380.0
1186,Almond Drink,1.9,0.2,0.3,0.2,,1.7,,25.0
1187,Kinley water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
